OBJECTID,PUBLIC_NAME,LABEL,Exclude,PARENT_NAME,NESTED,OFFICIAL_NAME,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
346,Corporal George J Reed Jr Memorial Playground,Reed,Yes,Corporal George J Reed Jr Memorial Playground,N,"Corporal George J. Reed, Jr. Memorial Playground",,1173,213 W ONTARIO ST,19140,213 W ONTARIO ST,Ontario & Decatur,0.39665206,POCKET_PARK,MISC_PARK,6,3,7,25,Y,Y,Y,,2738.859375,222.7052255
347,Wissahickon Neighbors Playground,Wissahickon Neighbors,No,Wissahickon Neighbors Playground,N,Wissahickon Neighbors Playground,,2902,3901 TERRACE ST,19128,3901 TERRACE ST,Terrace St & Hermit St;3901 TERRACE ST;200 HERMIT ST,0.39599284,POCKET_PARK,MISC_PARK,4,4,4,5,Y,Y,Y,,2735.835938,207.7444012
348,Louis I Kahn Park,Kahn,Yes,Louis I Kahn Park,N,,,377,328 S 11TH ST,19107,328-38 S 11TH ST,"328-38 S 11TH ST, 11th & Pine",0.38831953,POCKET_PARK,SQUARE_PLAZA,10,5,1,6,Y,Y,N,,2676.839844,265.7580444
349,Benson Park,Benson,No,Benson Park,N,,Sharswood Park,571,1444 N 04TH ST,19122,"1440R N 04TH ST, 1442R-44 N 04TH ST, 1445 N LAWRENCE ST","1440R-44 N 04TH ST;1440R N 04TH ST, 1442R-44 N 04TH ST, 1445 N LAWRENCE ST",0.39455246,POCKET_PARK,MISC_PARK,10,2,7,26,Y,Y,N,,2722.054688,266.8285885
350,Christ Church Park,Christ Church,Yes,Christ Church Park,N,,,2827,35 N 02ND ST,19106,36-38 N 2ND ST,201-17 MARKET ST;36-38 N 2ND ST,0.13202721,POCKET_PARK,HISTORIC_SITE,10,5,1,6,Y,Y,N,,910.2734375,146.1230745
351,John (Steve) Schmidt Playground,Schmidt,No,John (Steve) Schmidt Playground,N,John (Steve) Schmidt Playground,,1978,113 W ONTARIO ST,19140,113-23 W ONTARIO ST,"113-23 W ONTARIO ST, Howard & Ontario",0.36659798,POCKET_PARK,RECREATION_SITE,6,3,7,25,Y,Y,Y,,2531.320313,223.8876833
352,OConnor Pool,OConnor,No,OConnor Pool,N,,Joseph O'Connor Memorial Pool,85,577 S TANEY ST,19146,2601-13 SOUTH ST,"2601-13 SOUTH ST, 26th & South",0.37364796,POCKET_PARK,POOL,7,7,2,17,Y,Y,N,,2575.777344,201.5346273
353,Delancey Park,Delancey,Yes,Delancey Park,N,,Three Bears Park,115,311 DELANCEY ST,19106,311-19 DELANCEY ST,"311-19 DELANCEY ST, 3rd & Delancey",0.58590366,NEIGHBORHOOD_PARK,MISC_PARK,10,5,1,6,Y,Y,N,"St. Peter's Way to PPR (Ord 1969, pgs1222-1227)",4038.71875,523.356875
354,Edward Shippen Plaza (Bainbridge Green),Shippen (Bainbridge Green),Yes,Edward Shippen Plaza (Bainbridge Green),N,Edward Shippen Plaza/'Bainbridge Green',,1225,300 BAINBRIDGE ST,19147,,"300-400 BAINBRIDGE ST, 4th & Bainbridge",0.34839846,POCKET_PARK,SQUARE_PLAZA,10,7,1,3,Y,Y,N,There is no parcel here,2401.320313,738.7975915
355,Market Square Park,Market,Yes,Market Square Park,N,,Market Place,1141,5501 GERMANTOWN AVE,19144,5501 GERMANTOWN AVE,Germantown & Church,0.34663667,POCKET_PARK,SQUARE_PLAZA,4,4,8,14,Y,Y,N,,2395.75,214.1159949
356,Northeast Lions Park,NE Lions,Yes,Northeast Lions Park,N,Northeast Lions Park,Barnes & Loney Park;Fox Chase Park,542,7966 OXFORD AVE,19111,7966 OXFORD AVE,Oxford Ave & Loney St,0.38465859,POCKET_PARK,SQUARE_PLAZA,1,1,10,2,Y,Y,N,,2661.820313,203.9624639
357,Hedge Street Park,Hedge,Yes,Hedge Street Park,N,Hedge Street Park,Hedge and Plum Playground;New Park,37,4610 HEDGE ST,19124,"4610 HEDGE ST, 1675-79 ORTHODOX ST",4628 Hedge St;1675-79 ORTHODOX ST,0.43025854,POCKET_PARK,MISC_PARK,5,2,7,15,Y,Y,N,Divided by multiple parcels,2971.921875,274.3289644
358,Etting Park,Etting,No,Etting Park,N,,,694,3255 N MARSTON ST,19129,3255 N MARSTON ST,,0.30886554,POCKET_PARK,SQUARE_PLAZA,6,6,4,39,Y,Y,N,,2132.917969,183.5717297
359,Lederer Pool,Lederer,No,Lederer Pool,N,Lederer Pool at Fishtown Playground,Fishtown Pool;Swimmo,839,618 MOYER ST,19125,1219-25 E MONTGOMERY AVE,Montgomery & Moyer;618 MOYER ST;600 MOYER ST,0.29258007,POCKET_PARK,POOL,5,2,5,26,Y,Y,N,,2018.457031,196.3996518
360,Strawberry Mansion Playground,Strawberry Mansion Playground,No,Strawberry Mansion Playground,N,,Ridge Ave Neighborhood Park,808,3369 RIDGE AVE,19132,3369 RIDGE AVE,3369-3403 Ridge Ave,0.38469283,POCKET_PARK,MISC_PARK,7,6,4,22,Y,Y,Y,,2655.707031,209.1742889
361,Julian Abele Park,Abele,No,Julian Abele Park,N,,,1159,923 S 22ND ST,19146,917-31 S 22ND ST,917 S 22ND ST;917-31 S 22ND ST,0.28605199,POCKET_PARK,SQUARE_PLAZA,7,7,2,17,Y,Y,N,,1971.617188,183.4708622
362,Ralph Brooks Park,Brooks,No,Ralph Brooks Park,N,Ralph Brooks Park,,1360,1601 S 20TH ST,19145,1601-13 S 20TH ST,1601-13 S 20TH ST,0.28543655,POCKET_PARK,MISC_PARK,9,7,2,17,Y,Y,N,,1966.824219,189.8501153
363,Gilbert Stuart Park,Stuart,Yes,Gilbert Stuart Park,N,,,843,5132 GERMANTOWN AVE,19144,5132 GERMANTOWN AVE,,0.28774131,POCKET_PARK,SQUARE_PLAZA,4,4,8,39,Y,Y,N,,1988.488281,176.3763381
