origin,id,prob
"421010095003",194,-4.4803714822414
"421010095003",336,-4.4798019797989
"421010167024",7,-1.08438716806366
"421010167024",9,-1.08215339264836
"421010167024",251,-1.79816031956628
"421010168004",7,-3.83275987523296
"421010168004",9,-2.0100424699803
"421010168004",220,-2.48352469596331
"421010168004",249,-3.83689694163305
"421010168004",251,0.000635523993781863
"421010039014",194,-4.55935762486242
"421010039014",225,-4.55252792626331
"421010171001",7,-1.42525965823368
"421010171001",9,-1.42497417908136
"421010171001",251,-1.42477828559088
"421010172011",7,-1.30666993418843
"421010172011",9,0.00173704184673439
"421010172011",251,-1.30957485380125
"421010172023",7,0.000896321762346682
"421010172023",9,0.00045000965778567
"421010172023",225,-0.00206825613178842
"421010172023",251,0.000143753893404795
"421010172023",504,-0.873921542083941
"421010173001",7,-2.73761065989392
"421010173001",9,-8.34386957447831e-005
"421010173001",220,-2.73743664349464
"421010173001",251,-2.73747112226321
"421010176014",7,-2.82166080801338
"421010176014",9,-1.993256402175
"421010176014",251,-4.82930486125863
"421010177024",251,-6.0082290873114
"421010210005",9,-1.15046091361686
"421010177012",9,-1.1573640197638
"421010177012",249,-2.15319456292502
"421010249003",7,-3.18737770026492
"421010249003",9,-2.41806340875958
"421010249003",225,-3.18497215779222
"421010249003",361,-3.18663443005239
"421010252001",7,-0.573970868131163
"421010252001",9,-0.575376071396686
"421010252001",278,-1.66894605169759
"421010253004",7,-1.87696774053861
"421010363031",7,-7.33443604240206
"421010363031",9,-3.37715362640163
"421010169013",7,-0.962169774691474
"421010169013",9,0.00139036950684066
"421010169013",194,-2.7131256100604
"421010169013",249,-2.71286843983115
"421010169013",251,-0.964494941271128
"421010349002",7,-3.40147958764087
"421010349002",9,-7.58748202512788
"421010349002",140,-3.40910235747317
"421010349002",225,-3.42580739252073
"421010352001",7,-3.48293970674644
"421010352001",9,-3.48546518264619
"421010352001",104,-3.48591877278247
"421010352001",504,-3.48818029096367
"421010355003",7,-1.62874900395451
"421010355003",9,-1.62971240289469
"421010355003",220,-3.33097663256797
"421010355003",251,-3.33057523607619
"421010355003",352,-3.33089086070788
"421010301003",7,0.643924944173234
"421010301003",9,1.50673543914358
"421010357022",7,-2.37183077548535
"421010357022",9,-9.29824277975869
"421010357022",140,-3.859474318882
"421010357022",336,-3.85942472977218
"421010358001",7,-2.38816013061978
"421010358001",9,-5.15752787870689
"421010358001",251,-10.4345671052314
"421010353021",7,-3.27259169566132
"421010353021",9,-1.89668620666856
"421010353021",225,-3.24987934049154
"421010365021",7,-8.89933724118453
"421010365021",9,-3.8232727237987
"421010365021",249,-3.82421535052422
"421010365021",278,-3.82425524247389
"421010014002",7,-1.90954250488444
"421010014002",9,-1.90954250488444
"421010014002",140,-1.90954250488444
"421010014002",225,-1.90954250488444
"421010014002",322,2.50674831181758e-019
"421010019001",9,-0.805356356845786
"421010019001",140,-0.822633964849626
"421010019001",225,-0.0740464472374575
"421010019001",322,-1.96078108060609
"421010019001",504,-0.822534748598965
"421010022001",7,-0.922664867262985
"421010022001",9,-0.937309901847944
"421010022001",140,-0.953145535541676
"421010070001",7,-1.33005906032302
"421010070001",9,-2.02960486199856
"421010070001",336,-4.80645436138883
"421010071022",7,-2.17009674779695
"421010071022",9,-1.6645140921424
"421010329002",7,-8.23806994216324
"421010329002",9,-3.74065160649207
"421010329002",251,-3.73708814409153
"421010071013",7,-0.00173100442538353
"421010071013",9,-1.36298869026211
"421010071013",249,-2.19670106519257
"421010071013",251,-2.1970549167683
"421010072003",9,-2.37325185030969
"421010072003",251,-2.37095880225868
"421010073003",7,-0.00987462108935944
"421010074001",7,-0.632012627532155
"421010074001",9,0.134462474036683
"421010074001",251,-0.637963829605318
"421010077002",7,-2.01828862424717
"421010077002",9,-2.0111126243389
"421010077002",352,3.96327848008375e-005
"421010079002",7,-1.07921758691712
"421010079002",9,-1.071274147632
"421010079002",104,-1.06984745981119
"421010079002",140,-1.82172142871888
"421010079004",361,-2.35323156091324
"421010081024",7,-2.37002071945838
