FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,weekday,AttendenceRealDate
{3B42574C-7C7C-4775-94C3-7624468F5715},Rizzo Rink,1273,Other,Public / Open Programming,M/F,1,99,2021/02/15,277,277,7626,2021/02/09,2021/03/19,Friday,2021/02/19
{3B42574C-7C7C-4775-94C3-7624468F5715},Rizzo Rink,1273,Other,Public / Open Programming,M/F,1,99,2021/02/15,277,277,7625,2021/02/09,2021/03/19,Tuesday,2021/02/16
{3B42574C-7C7C-4775-94C3-7624468F5715},Rizzo Rink,1273,Other,Public / Open Programming,M/F,1,99,2021/02/15,277,277,7628,2021/02/09,2021/03/19,Sunday,2021/02/21
{3B42574C-7C7C-4775-94C3-7624468F5715},Rizzo Rink,1367,Athletic,"Hockey, Ice",M/F,8,14,2021/02/15,24,22,7629,2021/02/08,2021/03/19,Monday,2021/02/15
{298809CB-A118-4234-8A54-54260C378AD7},Gambrel Playground,4235,Athletic,Fitness,M/F,13,99,2021/02/08,6,6,7599,2021/02/06,2021/03/27,Saturday,2021/02/13
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4486,Other,Public / Open Programming,M/F,6,99,2021/01/04,58,58,7582,2020/12/07,2021/05/28,Monday,2021/01/04
{C8420FF3-289F-4737-A4F5-FF44DE89CA58},McVeigh Recreation Center,300,After School,After School,M/F,6,12,2021/12/27,21,0,8348,2021/09/13,2022/05/27,Tuesday,2021/12/28
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1152,Athletic,Gymnastics / Tumbling,F,8,18,2021/12/13,20,20,8880,2021/12/06,2022/02/26,Thursday,2021/12/16
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1146,Athletic,Gymnastics / Tumbling,F,8,14,2021/12/13,8,8,8877,2021/12/06,2022/02/26,Friday,2021/12/17
{DA9F8E3A-D19A-46DD-9040-5ACE360CDD2A},Kendrick Recreation Center,1157,Athletic,Gymnastics / Tumbling,M/F,8,18,2021/12/13,12,12,8873,2021/12/06,2022/02/26,Friday,2021/12/17
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,4783,Cultural,Dance,M/F,5,13,2021/12/06,22,20,8456,2021/09/14,2022/06/10,Wednesday,2021/12/08
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,3783,Cultural,Drama,M/F,6,16,2021/12/06,1,1,8815,2021/11/16,2022/06/03,Wednesday,2021/12/08
{65FDE44A-69BC-433C-8AD9-109921607BDE},Simons Center,4783,Cultural,Dance,M/F,5,13,2021/12/20,22,11,8456,2021/09/14,2022/06/10,Wednesday,2021/12/22
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/11/15,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/11/17
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/11/08,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/11/10
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/11/01,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/11/03
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/10/25,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/10/27
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/10/18,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/10/20
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/10/11,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/10/14
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/10/11,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/10/14
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/10/11,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/10/13
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/10/04,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/10/07
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/10/04,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/10/07
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/10/04,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/10/06
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/09/27,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/09/30
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/09/27,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/09/30
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/09/27,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/09/29
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/09/20,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/09/23
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/09/20,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/09/23
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/09/20,10,10,8227,2021/09/13,2022/05/27,Wednesday,2021/09/22
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/09/13,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/09/16
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/09/13,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/09/16
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4712,Other,Games,M/F,13,17,2021/09/06,10,10,8153,2021/07/05,2021/09/10,Tuesday,2021/09/07
{4052737F-EC99-486E-B732-E57050BA2F0D},Mitchell Playground,4728,Athletic,Soccer,M/F,3,5,2021/09/06,60,60,8225,2021/08/31,2021/10/13,Thursday,2021/09/09
