placekey,parkLat,parkLng
zzy-223@628-pp2-snq," 39.997688","-75.0991"
zzy-224@628-pfz-btv," 40.025646","-75.221132"
zzy-224@628-pm3-xyv," 39.93315","-75.16476"
zzz-222@628-p6z-nnq," 40.042375","-74.99298"
zzz-222@628-p6z-py9," 40.049273","-75.003987"
zzz-222@628-p6z-s89," 40.051363","-75.002956"
zzz-222@628-p72-6zf," 40.054616","-74.988449"
zzz-222@628-p74-fzz," 40.048423","-75.024582"
zzz-222@628-p74-jjv," 40.036488","-75.026583"
zzz-222@628-p75-d5f," 40.046965","-75.014041"
zzz-222@628-p75-tvz," 40.027531","-75.012139"
zzz-222@628-p77-fpv," 40.067416","-74.981164"
zzz-222@628-p77-mzf," 40.061173","-74.981292"
zzz-222@628-p77-p9z," 40.068437","-74.991808"
zzz-222@628-p78-6kz," 40.073173","-74.97276"
zzz-222@628-p7b-hwk," 40.056392","-75.010261"
zzz-222@628-p7c-7yv," 40.058755","-74.99835"
zzz-222@628-p7v-rzf," 40.056563","-75.076008"
zzz-222@628-p7x-2c5," 40.040298","-75.053302"
zzz-222@628-p7x-tqf," 40.04978","-75.053676"
zzz-222@628-p7z-q75," 40.040065","-75.082351"
zzz-222@628-p82-n3q," 40.038586","-75.070091"
zzz-222@628-p84-xt9," 40.057073","-75.035047"
zzz-222@628-p85-4qf," 40.062601","-75.051245"
zzz-222@628-p85-mff," 40.060541","-75.027005"
zzz-222@628-p86-gc5," 40.072921","-75.079898"
zzz-222@628-p8b-dvz," 40.0187","-75.054428"
zzz-222@628-p8d-nkf," 40.012476","-75.092267"
zzz-222@628-p8d-vzz," 40.011584","-75.073643"
zzz-222@628-p8d-zxq," 40.013963","-75.075806"
zzz-222@628-p8f-cqz," 40.014001","-75.080449"
zzz-222@628-p8g-w8v," 39.999885","-75.067935"
zzz-222@628-p8h-7dv," 40.030019","-75.034258"
zzz-222@628-p8h-h5z," 40.027994","-75.049113"
zzz-222@628-p8h-mff," 40.028056","-75.044532"
zzz-222@628-p8h-qs5," 40.021678","-75.048185"
zzz-222@628-p8h-rkz," 40.019386","-75.047319"
zzz-222@628-p8j-9s5," 40.03207","-75.041781"
