placekey,naics_code,location_name,parkLat,parkLng
zzz-222@628-pgd-v9f,713990,39Th and Olive Playground," 39.965837","-75.201131"
zzz-222@628-pmb-cdv,712190,Palumbo Recreation Center," 39.941413","-75.1581"
zzz-222@628-pgy-k4v,713940,Al Pearlman Sports Center," 40.059566","-75.240259"
zzz-222@628-pgj-r6k,713990,3Rd and Norris Playground," 39.981105","-75.13942"
zzz-223@628-pgb-3nq,712190,Cret Park," 39.955438","-75.166666"
zzz-222@628-pp4-mc5,713990,PopS Playground," 39.983809","-75.123576"
zzz-222@628-pm4-kj9,712190,Gold Star Park," 39.932768","-75.155214"
zzz-222@628-pm4-r8v,712190,Dickinson Square," 39.927971","-75.151076"
zzz-222@628-p8g-w8v,712190,Bridesburg Recreation Center," 39.999885","-75.067935"
zzz-222@628-p8f-rkz,712190,Orthodox Street Parcel," 39.991378","-75.066907"
zzz-222@628-pmb-bkz,713990,Seger Playground," 39.94355","-75.159011"
zzz-222@628-pm8-249,713990,Donald Finnegan Playground," 39.937628","-75.192976"
zzz-222@628-pg4-6ff,712190,Market Square," 40.034287","-75.172261"
zzz-222@628-p8t-dn5,712190,Poquessing Creek Park Whiting," 40.078537","-74.967851"
zzz-222@628-pmf-v2k,712190,Rittenhouse Square," 39.949341","-75.172023"
zzz-222@63s-dvv-tn5,713990,Mccreesh Playground," 39.926254","-75.239686"
zzz-222@628-pj7-kvf,712190,Northwood Park," 40.022704","-75.092859"
zzz-222@628-pm9-vcq,712190,Washington Square," 39.9474","-75.152693"
zzz-222@628-pm9-35z,712190,Mollbore Terrace Park," 39.91566","-75.168096"
zzz-222@628-php-vpv,712190,Lonnie Young Recreation Center," 40.050009","-75.159846"
zzz-222@628-pg4-3dv,712190,Gilbert Stuart Park," 40.030741","-75.166856"
zzw-222@63s-dvx-cyv,624120,Mill Creek Recreation Center," 39.966167","-75.215602"
zzz-222@628-p6z-s89,713990,Jacobs Playground," 40.051363","-75.002956"
zzz-222@628-p8b-2c5,712190,LardnerS Point Park," 40.014893","-75.046227"
