"","GEOID","avgDeviceResiding","population","quotient"
"41","421010012021",34.0909090909091,1394,40.8906666666667
"42","421010012022",10.4545454545455,917,87.7130434782609
"43","421010012023",17,1147,67.4705882352941
"44","421010012024",25,1025,41
"45","421010012025",16.7272727272727,732,43.7608695652174
"46","421010013001",15.7272727272727,501,31.8554913294798
"47","421010013002",20.5454545454545,963,46.8716814159292
"48","421010013003",18,621,34.5
"49","421010013004",9.27272727272727,1183,127.578431372549
"50","421010013005",100.909090909091,3643,36.1018018018018
"51","421010014001",34.3636363636364,1561,45.4259259259259
"52","421010014002",20.8181818181818,578,27.764192139738
"53","421010014003",45.3636363636364,2060,45.4108216432866
"54","421010015001",28.5454545454545,988,34.6114649681529
"55","421010015002",56.9090909090909,2239,39.3434504792332
"56","421010016001",41.3636363636364,967,23.378021978022
"57","421010016002",27.2727272727273,1404,51.48
"58","421010017001",33.3636363636364,1258,37.7057220708447
"59","421010017002",27.0909090909091,1856,68.510067114094
"60","421010018001",13.9090909090909,926,66.5751633986928
"61","421010018002",53.8181818181818,2212,41.1013513513513
"62","421010019001",23.6363636363636,1186,50.1769230769231
"63","421010019002",25,1647,65.88
"64","421010019003",24.8181818181818,1206,48.5934065934066
"65","421010020001",38.3636363636364,1182,30.8104265402844
"66","421010020002",26.8181818181818,646,24.0881355932203
"67","421010021001",29.1818181818182,576,19.7383177570093
"68","421010021002",47.0909090909091,1645,34.9324324324324
"69","421010022001",22.2727272727273,658,29.5428571428571
"70","421010022002",19.6363636363636,636,32.3888888888889
"71","421010022003",35,969,27.6857142857143
"72","421010023001",18.9090909090909,938,49.6057692307692
"73","421010023002",106.272727272727,1980,18.6313088109495
"74","421010024001",22.9090909090909,742,32.3888888888889
"75","421010024002",32.7272727272727,1182,36.1166666666667
"76","421010024003",44.9090909090909,1212,26.9878542510121
"77","421010024004",18.6363636363636,676,36.2731707317073
"78","421010024005",38,835,21.9736842105263
"79","421010025001",31.6363636363636,1338,42.2931034482759
"80","421010025002",29.5454545454545,851,28.8030769230769
"81","421010025003",17.7272727272727,585,33
"82","421010025004",47.3636363636364,1469,31.0153550863724
"83","421010027011",33.4545454545455,1047,31.2961956521739
"84","421010027012",31.2727272727273,1232,39.3953488372093
"85","421010027013",52.3636363636364,1955,37.3350694444444
"86","421010027021",87.8181818181818,1465,16.6821946169772
"87","421010027022",26.5454545454545,732,27.5753424657534
"88","421010027023",24.8181818181818,1240,49.96336996337
"89","421010027024",35.5454545454545,982,27.6265984654731
"90","421010028011",48.9090909090909,1135,23.2063197026022
"91","421010028012",24.6363636363636,2046,83.0479704797048
"92","421010028013",46.4545454545455,1414,30.4383561643836
"93","421010028021",33.1818181818182,1299,39.1479452054795
"94","421010028022",88.1818181818182,1303,14.7762886597938
"95","421010028023",44.0909090909091,936,21.2288659793814
"96","421010028024",18.3636363636364,1041,56.6881188118812
"97","421010028025",52,1017,19.5576923076923
"98","421010029001",121.454545454545,1130,9.30389221556886
"99","421010029002",58.8181818181818,936,15.9134466769706
"100","421010029003",83.0909090909091,1879,22.6137855579869
"101","421010030011",20.3636363636364,530,26.0267857142857
"102","421010030012",18.5454545454545,717,38.6617647058823
"103","421010030013",67.0909090909091,1034,15.4119241192412
"104","421010030014",29,946,32.6206896551724
"105","421010030015",17.5454545454545,732,41.720207253886
"106","421010030021",36.6363636363636,1083,29.560794044665
"107","421010030022",17,710,41.7647058823529
"108","421010030023",21.1818181818182,447,21.1030042918455
"109","421010030024",83.1818181818182,580,6.97267759562842
"110","421010031001",37.9090909090909,1271,33.5275779376499
"111","421010031002",20.6363636363636,363,17.5903083700441
"112","421010031003",23.6363636363636,472,19.9692307692308
"113","421010031004",29.6363636363636,771,26.0153374233129
"114","421010031005",35.7272727272727,764,21.3842239185751
"115","421010031006",24.4545454545455,785,32.1003717472119
"116","421010032001",849.363636363636,780,0.91833458204003
"117","421010032002",11.4545454545455,445,38.8492063492063
"118","421010032003",49.2727272727273,918,18.6309963099631
"119","421010032004",27,805,29.8148148148148
"120","421010032005",54.2727272727273,296,5.45393634840871
"121","421010032006",98.9090909090909,936,9.46323529411765
"122","421010033001",72,1958,27.1944444444444
"123","421010033002",40.5454545454545,885,21.8273542600897
"124","421010033003",30.8181818181818,923,29.9498525073746
"125","421010033004",25,576,23.04
"126","421010033005",51.7272727272727,1138,22
"127","421010033006",25.7272727272727,723,28.1024734982332
"128","421010036001",123.636363636364,1809,14.6316176470588
"129","421010036002",23.8181818181818,1419,59.5763358778626
"130","421010036003",75.1818181818182,2826,37.5888754534462
"131","421010036004",42.7272727272727,1088,25.463829787234
"132","421010037011",48.8181818181818,508,10.4059590316574
"133","421010037012",27,1068,39.5555555555556
"134","421010037013",60.6363636363636,1747,28.8110944527736
"135","421010037014",65.5454545454545,1473,22.4729542302358
"136","421010037015",23.2727272727273,1063,45.67578125
"137","421010037021",83.4545454545455,1803,21.6045751633987
