year,month,region,iso_country_code,census_block_group,number_devices_residing,number_devices_primary_daytime
2021,1,pa,US,"420970802005",67,60
2021,1,pa,US,"421257840003",30,28
2021,1,pa,US,"420333313003",88,75
2021,1,pa,US,"420710129002",70,57
2021,1,pa,US,"420792009001",36,39
2021,1,pa,US,"420893003071",75,69
2021,1,pa,US,"420893014021",319,311
2021,1,pa,US,"420912017062",75,46
2021,1,pa,US,"420912086043",183,187
2021,1,pa,US,"421330203102",35,24
2021,1,pa,US,"421330235004",60,55
2021,1,pa,US,"420032901001",35,19
2021,1,pa,US,"420034580003",118,91
2021,1,pa,US,"420034592011",256,234
2021,1,pa,US,"420034753041",62,48
2021,1,pa,US,"420034773003",56,47
2021,1,pa,US,"420076037004",54,51
2021,1,pa,US,"420076039001",113,82
2021,1,pa,US,"420110134011",145,101
2021,1,pa,US,"420350302005",88,76
2021,1,pa,US,"420770021001",86,68
2021,1,pa,US,"420912031043",76,57
2021,1,pa,US,"421010147002",117,107
2021,1,pa,US,"421010341002",96,76
2021,1,pa,US,"421070006014",68,32
2021,1,pa,US,"421298074023",121,115
2021,1,pa,US,"421298086001",111,96
2021,1,pa,US,"420270113005",119,106
2021,1,pa,US,"420293035013",49,57
2021,1,pa,US,"420512620001",85,75
2021,1,pa,US,"420770019001",99,91
2021,1,pa,US,"420770020004",45,35
2021,1,pa,US,"421298050001",97,62
2021,1,pa,US,"421330104002",59,40
2021,1,pa,US,"420034773002",32,27
2021,1,pa,US,"420950106005",68,55
2021,1,pa,US,"421010072003",18,21
2021,1,pa,US,"420034883001",100,80
2021,1,pa,US,"420199128003",81,73
2021,1,pa,US,"420210133003",79,67
2021,1,pa,US,"420490113001",21,18
2021,1,pa,US,"420691102012",43,33
2021,1,pa,US,"420710115023",117,88
2021,1,pa,US,"420810008002",95,77
2021,1,pa,US,"420893011012",115,88
2021,1,pa,US,"421010210003",31,24
2021,1,pa,US,"421010282003",180,163
2021,1,pa,US,"420032904004",46,34
2021,1,pa,US,"420034040001",76,60
2021,1,pa,US,"420034390001",58,47
2021,1,pa,US,"420250204003",43,45
2021,1,pa,US,"420370502003",70,66
2021,1,pa,US,"420454040031",102,87
2021,1,pa,US,"420710109002",340,350
2021,1,pa,US,"420032206001",48,29
2021,1,pa,US,"420034550001",96,75
2021,1,pa,US,"420430251001",152,107
2021,1,pa,US,"420710123012",78,74
2021,1,pa,US,"420770067032",132,104
2021,1,pa,US,"420893005022",122,109
2021,1,pa,US,"420970815004",19,19
2021,1,pa,US,"421010172024",32,30
2021,1,pa,US,"421150328004",35,24
2021,1,pa,US,"421257227003",58,41
2021,1,pa,US,"420035231003",16,14
2021,1,pa,US,"420171043042",26,22
2021,1,pa,US,"420490009003",67,57
2021,1,pa,US,"421010018001",18,18
2021,1,pa,US,"421010372001",70,41
2021,1,pa,US,"421298030003",157,97
2021,1,pa,US,"420210131003",51,39
2021,1,pa,US,"420270120001",40,46
2021,1,pa,US,"420912083023",629,587
2021,1,pa,US,"421010198002",23,20
2021,1,pa,US,"421257441002",130,113
2021,1,pa,US,"421330203203",84,69
2021,1,pa,US,"420099609002",73,57
2021,1,pa,US,"420210012003",31,30
2021,1,pa,US,"420454019002",17,15
2021,1,pa,US,"420691129022",71,51
2021,1,pa,US,"420710132045",42,58
2021,1,pa,US,"420770095002",45,52
2021,1,pa,US,"420792155023",39,35
2021,1,pa,US,"421010275002",46,46
2021,1,pa,US,"421190905024",138,169
2021,1,pa,US,"420031102002",15,17
2021,1,pa,US,"420035623002",87,44
2021,1,pa,US,"420076050011",561,567
2021,1,pa,US,"420490103034",53,40
2021,1,pa,US,"420770008004",34,27
2021,1,pa,US,"420770056022",641,703
2021,1,pa,US,"420850320001",45,30
2021,1,pa,US,"420912040022",46,39
2021,1,pa,US,"420912090002",60,61
2021,1,pa,US,"421010334004",76,68
2021,1,pa,US,"421330215002",855,908
2021,1,pa,US,"420031115001",35,24
2021,1,pa,US,"420034687001",41,40
2021,1,pa,US,"420034736022",88,98
2021,1,pa,US,"420034882003",37,28
2021,1,pa,US,"420454015023",50,39
2021,1,pa,US,"420454049001",25,19
2021,1,pa,US,"420490020002",40,36
2021,1,pa,US,"421010138002",52,41
2021,1,pa,US,"421010195022",55,41
2021,1,pa,US,"421257711002",149,131
2021,1,pa,US,"420035129001",18,20
2021,1,pa,US,"420454027002",30,25
2021,1,pa,US,"420454080024",59,42
2021,1,pa,US,"420750040002",93,61
2021,1,pa,US,"420770018001",31,26
2021,1,pa,US,"420770060013",53,61
2021,1,pa,US,"420770095004",33,30
2021,1,pa,US,"420810003007",51,47
2021,1,pa,US,"420950106003",90,71
2021,1,pa,US,"420950181002",75,57
2021,1,pa,US,"421010072005",32,30
2021,1,pa,US,"421010149001",47,47
2021,1,pa,US,"420034885003",58,37
2021,1,pa,US,"420171058012",123,82
2021,1,pa,US,"420171059001",88,61
2021,1,pa,US,"420210130003",45,38
2021,1,pa,US,"420293027062",826,1095
2021,1,pa,US,"420293073001",43,26
2021,1,pa,US,"420410122002",48,46
2021,1,pa,US,"420850331004",90,69
2021,1,pa,US,"420912092012",47,47
2021,1,pa,US,"420950107003",50,41
2021,1,pa,US,"421010272002",72,55
2021,1,pa,US,"421039508023",98,83
2021,1,pa,US,"421110218002",22,18
2021,1,pa,US,"421257543001",21,20
2021,1,pa,US,"421330211001",107,132
2021,1,pa,US,"420030201003",47,303
2021,1,pa,US,"420171024023",41,37
2021,1,pa,US,"420199115022",90,84
2021,1,pa,US,"420454003012",79,70
2021,1,pa,US,"420512613001",65,40
2021,1,pa,US,"420792111022",34,24
2021,1,pa,US,"421298084012",44,35
2021,1,pa,US,"420031706001",462,531
2021,1,pa,US,"420031903002",415,382
2021,1,pa,US,"420033204002",23,17
2021,1,pa,US,"420035152002",36,26
2021,1,pa,US,"420035615001",71,41
2021,1,pa,US,"420199120021",328,262
2021,1,pa,US,"420454031031",75,52
2021,1,pa,US,"420454072022",84,64
2021,1,pa,US,"420710139023",46,36
2021,1,pa,US,"420810004005",46,44
2021,1,pa,US,"420912016071",18,16
2021,1,pa,US,"421212012002",34,40
2021,1,pa,US,"421330225004",70,51
2021,1,pa,US,"420034520003",93,64
2021,1,pa,US,"420250209003",62,55
2021,1,pa,US,"420912058062",79,50
2021,1,pa,US,"420950109001",93,77
2021,1,pa,US,"420950112004",63,57
2021,1,pa,US,"421010132001",32,27
2021,1,pa,US,"421010317001",47,34
2021,1,pa,US,"421010363031",165,101
2021,1,pa,US,"421090702002",90,59
2021,1,pa,US,"421257747005",83,72
2021,1,pa,US,"420035140001",24,22
2021,1,pa,US,"420076049011",53,44
2021,1,pa,US,"420171027003",47,86
2021,1,pa,US,"421010125002",60,60
2021,1,pa,US,"421010168004",61,59
2021,1,pa,US,"420110119044",220,173
2021,1,pa,US,"420130106001",58,74
2021,1,pa,US,"420171018033",187,166
2021,1,pa,US,"420171057042",60,51
2021,1,pa,US,"420171064021",121,75
2021,1,pa,US,"420250208006",42,33
2021,1,pa,US,"420430236022",182,134
