X,Y,OBJECTID,PARK_NAME,DATE_INSTALLED,SPRAY_STATUS,COMMENTS,DATA_SOURCE
-75.1378141075267,40.0008611124062,25,Ramonita Negron Rivera Recreation and Community Center,2021/10/01 00:00:00+00,INACTIVE,Sprayground installed during 2021 renovations,"NearMap 2021; Capital Info 2021"
-75.0538582605393,40.0261143426,26,Franklin Delano Roosevelt Playground,2020/10/01 00:00:00+00,ACTIVE,Sprayground,"Capital Team 2020, NearMap 2021"
-75.0344023376024,40.0300414151888,27,Charles A Russo Playground,2012/01/01 00:00:00+00,ACTIVE,Sprinkler,Operations 2021
-75.1677936359094,39.9657861115254,28,Roberto Clemente Playground,2011/01/01 00:00:00+00,ACTIVE,Sprayground,"Finder, Capital 2019, Pictometry 2020"
-75.1785569620063,39.9773134908592,29,Athletic Recreation Center,,ACTIVE,Sprayground,Operations 2021
-75.1483323342405,39.9306860353628,30,Nelson M Herron Playground and Recreation Center,,ACTIVE,Sprayground,Operations 2021
-75.1049408290891,40.0146683113816,31,Joseph A Ferko Playground,,ACTIVE,Sprayground,Operations 2021
-75.2265921162882,39.9826490831629,32,Parkside Evans Recreation Center,,ACTIVE,Sprayground,"Finder, Google Street Photos, Pictometry 2020"
-75.1686323890119,40.0455544793167,33,Waterview Recreation Center,,ACTIVE,Sprayground,Operations 2021
-74.9700670320272,40.1026992259719,34,Jim Junod Recreation Center,2012/01/01 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.1869238713131,39.9254879784639,35,Thomas B Smith Recreation Center,2018/01/01 00:00:00+00,ACTIVE,Sprayground,"Finder, Capital 2019, Pictometry 2020"
-75.2092430709376,39.9416080377859,36,48th and Woodland Playground,,ACTIVE,Sprayground,"Finder, Google Street Photos, Pictometry 2020"
-75.190772478412,39.9651816510046,37,33rd and Wallace Playground,,ACTIVE,Sprinkler,Operations 2021
-75.2010082617562,39.9660221275023,38,Norman (Butch) Ellis Playground,,ACTIVE,Sprinkler,Operations 2021
-75.1656080293932,40.053663089146,39,Awbury Park and Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.2311435189327,39.9770960893997,40,Charles A Baker Playground,,ACTIVE,Sprinkler,"Finder, Google Street Photos, Pictometry 2020"
-75.1355690175118,40.0311606569008,41,John L Barrett Playground,,ACTIVE,Sprinkler,"Finder, Pictometry 2020"
-75.14297039427,39.9735778525067,42,Benson Park,,ACTIVE,Sprayground,"Finder, Pictometry 2020"
-75.007876584312,40.1230093702706,43,Daniel Boyle Memorial Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.1592565796044,39.9340759321413,44,Dr Nicola Capitolo Playground,2020/08/01 00:00:00+00,ACTIVE,Sprayground,Operations 2021
-75.0731114405029,40.0110182759354,45,Carmella A DiTizio Playground,2020/04/01 00:00:00+00,ACTIVE,Sprayground,"Capital 2020 Info; Pictometry 2020; Operations 2021"
-75.2366823579078,39.9711627521494,46,Carroll Park,,ACTIVE,Sprayground,Operations 2021
-74.9745339709752,40.0795370167999,47,Corporal Jimmy OConnor Memorial Recreation Center,,ACTIVE,Sprinkler,Operations 2021
-75.1643053122655,39.9333412454398,48,Columbus Square,2020/07/01 00:00:00+00,ACTIVE,Sprayground,"Pictometry 2020; Communications 2020"
