GEOID,placekey,distance,probability,PC1,PC2,PC3,PC4,PC5
"421010152004",zzw-222@628-pgc-q9f,6.02,0.0353982300884956,4.74397817287085,7.55103686696103,5.0916109401491,2.04343756209913,2.51442442699136
"421010152004",zzy-222@628-pg8-r6k,3.8,0.0353982300884956,3.59413181585703,5.34163289933881,1.38815236725603,1.09078181459806,1.2809123380916
"421010152004",zzy-222@63s-dvx-xqz,7.15,0.0707964601769911,1.66495260224947,7.12133443773344,3.25038505313059,2.50502443060001,5.12165866117282
"421010152004",zzz-222@628-pg8-hyv,1.67,0.0353982300884956,2.04719336588976,6.56502168676301,2.67375938338968,2.04438631327227,3.26995945342279
"421010152004",zzz-222@628-pg9-hwk,2.85,0.0353982300884956,2.82414328996215,5.48343087097416,2.22970347989465,1.40783864970696,2.09519018003617
"421010152004",zzz-222@628-pg9-kpv,3.13,0.0707964601769911,1.87314134079634,6.67734015716043,2.86154664602106,2.30688628457623,1.58051002234391
"421010152004",zzz-222@628-pg9-tgk,2.44,0.115044247787611,1.95793295708317,7.23333884418028,2.39980712700128,4.33168267994285,0.535930166272136
"421010152004",zzz-222@628-pg9-yjv,2.09,0.0353982300884956,1.72343657030212,7.12420289095599,3.02727652856124,3.4993317452956,1.31045748422867
"421010152004",zzz-222@628-pgm-3wk,4.81,0.0353982300884956,4.34116103508901,7.32152562503264,4.86756692980928,0.95338683756224,2.57520081574269
"421010152004",zzz-222@628-ph6-r49,6.29,0.0353982300884956,5.07116465049831,7.49440170159421,5.12947662448363,2.20054173761682,3.49489339970391
"421010152004",zzz-222@628-pm8-vj9,14.58,0.0353982300884956,4.89287674184626,5.27454670458479,1.44301496056122,1.92070839806376,6.93032609743401
"421010152004",zzz-222@628-pm9-jn5,8.59,0.0353982300884956,1.39988243830498,7.17852172510094,3.27811188851699,2.05531112227267,2.73167449893938
"421010152004",zzz-222@63s-dw2-jqf,9.22,0.0707964601769911,2.65663971498213,7.79173420950289,4.67764918905173,1.67062948233051,2.46218281020173
"421019802001",zzz-222@628-ph6-r49,20.23,0.142857142857143,5.07116465049831,7.49440170159421,5.12947662448363,2.20054173761682,3.49489339970391
"421019802001",zzz-222@628-pm9-jn5,25.59,0.285714285714286,1.39988243830498,7.17852172510094,3.27811188851699,2.05531112227267,2.73167449893938
"421019802001",zzz-222@63s-dvq-5fz,26.91,0.285714285714286,1.56030582454526,6.51032308868768,3.34423142582027,2.0912803216238,2.60721541021631
"421019802001",zzz-222@63s-dvr-d7q,27.12,0.142857142857143,1.38364518170779,7.70811032956101,2.8165304572209,3.23521616432673,1.24346386203653
"421019802001",zzz-222@63s-dvx-hqz,21.06,0.142857142857143,1.95693153986174,7.53282764411897,3.6744919560915,2.05090024233937,2.42057318879964
"421010171003",zzw-222@628-pg9-tgk,5.79,0.333333333333333,1.95793295708317,7.23333884418028,2.39980712700128,4.33168267994285,0.535930166272136
"421010171003",zzy-222@628-pg8-r6k,5,0.0579710144927536,3.59413181585703,5.34163289933881,1.38815236725603,1.09078181459806,1.2809123380916
"421010171003",zzz-222@628-pg9-hwk,3.2,0.0579710144927536,2.82414328996215,5.48343087097416,2.22970347989465,1.40783864970696,2.09519018003617
"421010171003",zzz-222@628-pg9-tgk,5.79,0.260869565217391,1.95793295708317,7.23333884418028,2.39980712700128,4.33168267994285,0.535930166272136
"421010171003",zzz-222@628-pgd-v9f,8.8,0.0579710144927536,2.1544288608645,8.35519129573635,4.00771722760647,3.01108461089878,1.25160400218809
"421010171003",zzz-222@628-pgm-3wk,2.45,0.115942028985507,4.34116103508901,7.32152562503264,4.86756692980928,0.95338683756224,2.57520081574269
"421010171003",zzz-222@628-ph6-r49,7.35,0.0579710144927536,5.07116465049831,7.49440170159421,5.12947662448363,2.20054173761682,3.49489339970391
"421010171003",zzz-222@628-pm9-jn5,15.58,0.0579710144927536,1.39988243830498,7.17852172510094,3.27811188851699,2.05531112227267,2.73167449893938
"421010305025",zzz-222@628-pmf-v2k,17.52,1,0.820445404823627,6.44660761803264,2.39129791160718,1.09359597230562,1.87877858947987
"421010040024",zzw-222@628-pm7-mx5,3.42,0.0235294117647059,1.26754984981395,7.21060215615657,3.32057180351784,1.98985202027763,2.74355001166876
