GEOID,population
"421010210002",550
"421010319004",661
"421010148001",804
"421010158002",1172
"421010087012",1029
"421010161003",684
"421010311012",513
"421010112004",1186
"421010252005",1888
"421010107004",1068
"421010363011",1998
"421010069003",1021
"421019809001",0
"421010363034",1423
"421010258001",1778
"421010158005",1294
"421010348033",674
"421010299004",2093
"421010036004",1088
"421010180022",917
"421010096002",776
"421010088021",987
"421010173002",1668
"421010079003",1394
"421010160003",1625
"421010064003",1878
"421010298001",1497
"421010337024",915
"421010131002",804
"421010316007",816
"421010263012",689
"421010340002",1093
"421010315011",1144
"421010235001",1300
"421010293001",1695
"421010055003",4062
"421010086012",1839
"421010100001",1368
"421010375002",1573
"421010376002",2432
"421010378001",945
"421010183003",1728
"421010390001",1008
"421010342002",1878
"421010390004",569
"421010237002",1575
"421019803001",0
"421010273003",1035
"421010390005",717
"421010302005",1219
"421010311023",1106
"421019891001",1811
"421019801001",40
"421010373003",1585
"421010195022",2153
"421010029001",1130
"421010175006",1108
"421010062004",1823
"421010153003",937
"421010157003",1160
"421010179005",2126
"421010164003",1842
"421010168001",752
"421010199004",1192
"421010080004",1142
"421010084004",622
"421010093005",988
"421010092002",1661
"421010094002",1280
"421010101004",1154
"421010106002",945
"421010115003",1477
"421010117001",1957
"421010207004",1406
"421010170001",1473
"421010141001",1600
"421010140001",1898
"421010140003",1409
"421010144003",1282
"421010142002",3729
"421010020001",1182
"421010021001",576
"421010024005",835
"421019800001",416
"421010369002",1645
"421010282002",2252
"421010281002",1318
"421010280003",1234
"421010294002",1323
"421010294003",1675
"421010309001",1570
"421010335002",1903
"421010325003",2235
"421010323003",1577
"421010326007",821
"421010362033",2352
"421010359002",2733
"421010027021",1465
"421010036003",2826
"421010060004",543
"421010369003",4099
"421010010011",1580
"421010004022",2216
"421010200002",956
"421010203001",1235
"421010192005",1183
"421010299002",582
"421010190005",1464
"421010198006",922
"421010198001",1157
"421010199002",1305
"421010211002",1310
"421010242003",1353
"421010252006",1599
"421010267005",1290
"421010389001",899
"421010375001",2163
"421010345011",2199
"421010345023",1776
"421010348013",1676
"421010161001",2915
"421010353012",2157
"421010008033",768
"421010091002",884
"421010014001",1561
"421010136012",1595
"421010167023",764
"421010381001",682
"421010381002",163
"421010373002",2144
"421010214001",978
"421010386001",1395
"421010279022",2612
"421010279014",1552
"421010317004",1376
"421010003002",2507
"421010009021",1312
"421010009012",944
"421010011014",936
"421010011011",642
"421010012013",1044
"421010024001",742
"421010027011",1047
"421010027022",732
"421010028012",2046
"421010028013",1414
"421010030021",1083
"421010032006",936
"421010032003",918
"421010033005",1138
"421010033003",923
"421010037014",1473
"421010039024",2088
"421010365022",1498
"421010039011",1376
"421010039013",2124
"421010040021",997
"421010253002",762
"421010254001",1015
"421010256003",1140
"421010257002",977
"421010260003",1435
"421010260002",800
"421010262002",597
"421010348012",1501
"421010263024",1701
"421010264007",485
"421010264003",966
"421010265005",467
"421010265006",1585
"421010266003",508
"421010267007",829
"421010268003",851
"421010271003",1106
"421010307002",1337
"421010309003",1481
"421010310006",1316
"421010310002",1185
"421010311014",1925
"421010312001",1753
"421010313005",918
"421010314015",821
"421010315014",1251
"421010316002",481
"421010316004",683
"421010317002",943
"421010318002",898
"421010319003",878
"421010320006",1532
"421010320001",593
"421010323002",1314
"421010326001",918
"421010329003",886
"421010329005",1054
"421010330005",1657
"421010331021",992
"421010331014",1282
"421010333001",1591
"421010335001",1029
"421010336002",789
"421010337021",1014
"421010179002",1136
"421010180021",1258
"421010037022",1307
"421010184001",808
"421010188002",1290
"421010188003",1533
"421010191002",756
"421010192006",371
"421010383003",565
"421010197004",787
"421010198003",1231
"421010199001",1141
"421010201024",810
"421010202004",638
"421010204002",840
"421010205002",1017
"421010209004",1081
"421010210001",1107
"421010213005",673
"421010215004",785
"421010215001",997
"421010216001",998
"421010217002",1972
"421010388001",707
"421010237001",986
"421010238002",433
"421010239001",955
"421010272001",800
"421010272003",1196
"421010274022",625
"421010274012",913
"421010274024",2436
"421010136021",617
"421010137003",1044
"421010140002",581
"421010144002",2387
"421010149001",1028
"421010149005",844
"421010151021",1647
"421010152003",1277
"421010160005",917
"421010160002",1052
"421010274025",1464
"421010275004",1138
"421010276003",1204
"421010277001",1205
"421010279013",776
"421010280002",1012
"421010282001",997
"421010283006",956
"421010284002",866
"421010289023",1160
"421010289022",1431
"421010290001",144
"421010338002",909
"421010338005",1236
"421010339002",1876
"421010341004",950
"421010344002",1682
"421010344001",1309
"421010347012",2302
"421010067005",1190
"421010067004",1482
"421010240001",1275
"421010242001",964
"421010243004",647
"421010263011",1355
"421010247002",706
"421010247001",1096
"421010247005",464
"421010160007",1152
"421010161004",1008
"421010161002",1596
"421010163001",661
"421010167024",709
"421010167022",628
"421010168004",545
"421010039014",1239
"421010171001",813
"421010172011",949
"421010172023",835
"421010173001",870
"421010176014",1090
"421010177024",1371
"421010177011",1128
"421010177012",1009
"421010249003",559
"421010252001",481
"421010253004",903
"421010363031",2456
"421010169013",1394
"421010349002",2341
"421010352001",2138
"421010355003",2600
"421010357022",2460
"421010358001",2849
"421010353021",1805
"421010365021",2715
"421010012011",998
"421010014002",578
"421010019001",1186
"421010022001",658
"421010070001",1193
"421010071022",1271
"421010071013",558
"421010072003",451
"421010073003",471
"421010074001",687
"421010077002",717
"421010079002",1300
"421010079004",919
"421010081024",1877
"421010082005",591
"421010082002",1610
"421010082004",259
"421010176011",341
"421010041024",1125
"421010037023",1111
"421010042022",1377
"421010042011",966
"421010040013",947
"421010054001",1577
"421010060001",1894
"421010121002",1903
"421010125002",2710
"421010062003",648
"421010065004",673
"421010066001",1242
"421010066002",280
"421010087013",1335
"421010088024",903
"421010088011",1881
"421010093002",1163
"421010096003",729
"421010098022",1963
"421010100003",798
"421010101006",820
"421010104004",1572
"421010107003",419
"421010108001",702
"421010109002",457
"421010111002",696
"421010112002",667
"421010134021",814
"421010240004",872
"421010112006",407
"421010113003",1202
"421010114001",3026
"421010115002",1241
"421010118006",426
"421010119005",532
"421010291001",952
"421010299001",859
"421010300004",1422
"421010301004",593
"421010302003",2068
"421010390006",1492
"421010305023",1405
"421010305024",2327
"421010306002",1152
"421010306004",1007
"421010083013",1030
"421010085001",274
"421010085006",1307
"421010347022",913
"421010362013",1701
"421010362031",1568
"421010038001",1281
"421010353022",2711
"421010083023",1027
"421010083021",984
"421010136023",1111
"421010122042",2207
"421010330004",2180
"421010384001",1452
"421010146002",886
"421010266007",525
"421010278001",1266
"421010319001",1107
"421010280004",1150
"421010387001",861
"421010072002",711
"421010003001",878
"421010032004",805
"421010088022",1589
"421010214002",960
"421010387002",1955
"421019808001",0
"421010176022",965
"421010273004",1729
"421010025001",1338
"421010070005",986
"421010286004",867
"421010378003",1086
"421010271001",643
"421010292002",1093
"421010353013",623
"421010082001",501
"421010040023",1185
"421010379006",1178
"421010107001",681
"421010267006",388
"421010338004",736
"421010177023",521
"421010307003",1949
"421010337011",1754
"421010351001",1948
"421010105002",2104
"421010084005",1031
"421010345012",2044
"421010027023",1240
"421010383001",1661
"421010114002",354
"421010086011",1473
"421010267004",2267
"421010265002",704
"421010177021",555
"421010334002",1368
"421010204004",491
"421010214005",840
"421010355002",2619
"421010315023",1538
"421010254003",884
"421010291002",1726
"421010023001",938
"421010029003",1879
"421010073004",991
"421010096001",951
"421010171004",881
"421010137002",845
"421010162002",888
"421010311013",1139
"421010315021",1860
"421010320004",1039
"421010329001",416
"421010331013",1005
"421010191005",2176
"421010337023",500
"421010385002",1251
"421010348032",2456
"421010356011",2135
"421010362022",1592
