X,Y,OBJECTID,ASSET_NAME,SITE_NUMBE,PSPACETYPE,CAPACITY,DSCRIPTION,DPP_ASSET_,SPACE_GLOBAL_ID
-75.1796175737823,39.9646710993606,223,Philadelphia Museum of Art Apron,1,Park A Site,32767, ,3463,{d8294ff9-68c8-44b1-b88b-ff570d8bfbc3}
-75.1911120118721,39.9765087297288,224,Glendenning Rock Garden,1,Wedding venue,50,,3585,{d2bd92d4-270b-4cff-bedd-28d659f38678}
-75.1830193401731,39.9678836457295,225,Azalea Garden,1,Wedding Venue,30,,1713,{c0d75290-eb90-439b-9bab-6ee856d82925}
-75.2173885562296,39.9826692081029,226,Cherry Allée in West Park,1,Wedding Venue,60,,1714,{1eb3fabe-bcf4-4fb0-9d3a-a0abf5e81532}
-75.2012662940162,39.982171589599,227,Kelly Drive,1,Route,25000,,1713,{E2DFC47F-AB6C-4DEA-8BBE-2803D2EED09D}
-75.1957624017534,39.9764865937304,228,M.L.K. Drive,1,Route,32767,,1714,{307D6CA6-6D16-4657-9F24-BB62CA76C10F}
-75.0121331989927,40.0277200138252,229,Pennypack on the Delaware picnic pavilion (square),5,Picnic pavilion,150,Square pavilion with seating.,1631,{e4c9d9a0-544a-4c1d-8e1b-51e4ff81a32d}
-75.1798006476546,39.9476145968432,230,Fitler Square,1,Neighborhood Park,500,,2904,{ADA087FE-E814-4461-A9FB-4C12B6127AF8}
-75.1472950223803,39.9373644656235,231,Mario Lanza Park,1,Neighborhood Park,100,,47,{046bb558-b2f4-446b-a4ca-7531875a00a6}
-75.1556008467428,39.939271099703,232,Palumbo Park,1,Neighborhood Park,300,,2,{DD12D01A-F0AC-4E0F-A6F4-F32F5B8C3361}
-75.2583605594054,39.9777656138931,233,Morris Park,1,Neighborhood Park,150,,1283,{4d815869-2ca6-4a2f-834e-dd8308766939}
-75.0135041375813,40.0260839317034,234,Pennypack on the Delaware gazebo (round),1,Picnic pavilion,150,Round pavilion without seating.,1631,{4B852C63-E952-47ED-AE4C-DA1E9ABE9ACA}
-75.1762144618513,39.9620972882751,235,Benjamin Franklin Parkway,1,Route,32767,,1226,{6A20D2C5-5AFA-4A3C-ACE7-BA1B6BEB7097}
