objectid,park_name,site_number,table_count,comments,data_source,lat,lng
239,Disston Recreation Center,0,3,Installed during renovations 11/2019.,"Pictometry 2020, NearMap 2020",40.027983597453726,-75.04405775736731
240,Garland and Bingham Fields,0,2,,Pictometry 2020,40.034244630855554,-75.11046891695824
241,Mount Airy Playground,0,2,,"2018 NaturePHL, Pictometry 2020",40.05766330373475,-75.18770702384722
242,Mount Airy Playground,0,2,,"2018 NaturePHL, Pictometry 2020",40.05775802443692,-75.18848077627622
243,Water Tower Recreation Center,0,2,,Pictometry 2020,40.075869632944034,-75.20045815617426
244,Water Tower Recreation Center,0,2,,Pictometry 2020,40.075358729771956,-75.20046743214354
245,Corporal George J Reed Jr Memorial Playground,0,2,,Pictometry 2020,40.00275426272734,-75.13321415989391
246,Stephen E Fotteral Square,0,4,,NearMap 2021,39.98960832425705,-75.15098511822062
247,37th and Mount Vernon Playground ,0,2,,Pictometry 2020,39.96402650001221,-75.19644756231733
248,East Fairmount Park,0,2,N 33rd St and Cecil B Moore Ave,Pictometry 2020,39.982367744086005,-75.18933384587562
249,Clarence H Clark Park,0,1,,Pictometry 2020,39.94785265323404,-75.21089366880457
250,Clarence H Clark Park,0,1,,Pictometry 2020,39.94774823361305,-75.21077714691023
251,Clarence H Clark Park,0,1,,Pictometry 2020,39.94709689579134,-75.20928612486496
252,Cobbs Creek Park,0,1,North to Cobbs Creek Community Environmental Center,Pictometry 2020,39.95341276627037,-75.24935421780927
253,Bartrams Garden,0,2,North to Bartram's Garden Greenhouse 3,Pictometry 2020,39.930636794344956,-75.21343282472785
254,Bartrams Garden,0,9,North to Bartram's Garden Greenhouse 3,Pictometry 2020,39.93041827409467,-75.2135982828577
255,Bartrams Garden,0,1,East to Bartram's Garden Farm Shed,Pictometry 2020,39.93041599182729,-75.21340886071971
256,Jacob Stinger Park,0,2,,Pictometry 2020,39.936423116122334,-75.1973904335459
257,Thomas B Smith Recreation Center,0,2,,Pictometry 2020,39.92586819620428,-75.18679730075573
258,Thomas B Smith Recreation Center,0,1,,Pictometry 2020,39.92626243048451,-75.18720538487183
259,Thomas B Smith Recreation Center,0,1,,Pictometry 2020,39.92620974156562,-75.18730546408783
260,Thomas B Smith Recreation Center,0,1,,Pictometry 2020,39.92623096923018,-75.18753850051515
261,Thomas I Guerin Recreation Center,0,2,,"2018 NaturePHL, 2017 Google Map, Pictometry 2020",39.92324936748868,-75.17272528198484
262,Frank Palumbo Sr Park,0,2,,Pictometry 2020,39.93924462044602,-75.15567159557517
263,Franklin Square,0,5,,Pictometry 2020,39.955743131972035,-75.15000438959069
264,Shot Tower Recreation Center,0,2,,Pictometry 2020,39.93486940145658,-75.1463822543125
265,Victor J Moss Memorial Field,0,4,Installed 10/2019 during renovations.,Pictometry 2020,40.01599990984507,-75.06277503642534
266,Karen Donnelly Park,0,3,Installed between 2008-2010,"Cyclomedia 2020; Pictometry 2020",39.92907425145628,-75.14936407165621
267,Bartrams Garden,0,4,Non-fixed picnic tables near the boat launch,NearMap 2021,39.933364360850426,-75.20848982046887
268,Bartrams Garden,0,1,In the Sankofa Community Farm,Pictometry 2020,39.93102073278925,-75.21340711572343
269,Bartrams Garden,0,3,To the east of the Sankofa Community Farm,Pictometry 2020,39.93024691962171,-75.2125034601388
270,Roberto Clemente Playground,0,1,,Pictometry 2020,39.96561680342947,-75.16753095810766
271,Pennypack on the Delaware,0,1,Along the Baxter Trail west of bridge. ,Pictometry 2020,40.03298619148022,-75.00782961054003
272,Pine Road Picnic Shelter,0,,Picnic Shelter unable to see number of tables from aerials,PPR_Properties,40.08843939678442,-75.06749912053837
273,Pennypack Park,0,5,Located next to the Pennypack Environmental Education Center,Pictometry 2020,40.08778656971788,-75.05928638997553
274,Wissahickon Valley Park,0,4,Located next to Valley Green Inn,Pictometry 2020,40.05436879212199,-75.21823817098911
275,Wissahickon Valley Park,0,3,"Located at Monastery Stables; Non-fixed tables.",Pictometry 2020,40.03664430023603,-75.20447716546917
276,Glen Foerd on the Delaware,0,3,Located to the north of the Carriage House and Water Tower,Pictometry 2020,40.05312450998247,-74.98024078690742
277,Pennypack Park,0,2,"Located at the Pegasus Riding Academy; Non-Fixed tables",Pictometry 2020,40.06685601277311,-75.05049805370749
278,Pennypack Park,0,1,"Solly Stables Campus Location; Non-Fixed tables",Pictometry 2020,40.07280953551572,-75.068768482581
279,Verree and Susquehanna Playground,0,1,Fixed table underneath the tree.,"2020 Pictometry, 2020 Street Smart",40.08049267107942,-75.06752123148712
280,Pennypack Park,0,1,"Non-Fixed Table next to fire pit, just south of the Pine Road Picnic Shelter",Pictometry 2020,40.08819621495269,-75.06772356010929
281,Pennypack Park,0,5,Mix of Fixed and Non-Fixed Tables at the Pine Road Trailhead Parking Lot,Pictometry 2020,40.08970264618895,-75.06884762397621
282,Burholme Park,0,5,Fixed tables around the playgrounds,NearMap 2021,40.068975498339256,-75.09009568927094
