OBJECTID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,Shape__Area,Shape__Length
458,Blue Bell Park,Wissahickon Valley Park,Y,Blue Bell Park,Blue Bell,Blue Bell Hill,1311,844 W WALNUT LN,19144,N/A,Walnut & Park,8.33088374,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,4,4,4,"14, 39",Y,Y,N,,57575.30859375,1502.7611171847
459,Saul High School Farm,Wissahickon Valley Park,Y,,Saul Farm,,3659,7107 HENRY AVE,19128,,,35.3051806,NEIGHBORHOOD_PARK,URBANAGRICULTURE_FARM,4,4,4,5,Y,Y,N,,244124.2578125,4300.97455860214
460,Parkwood,Parkwood,N,,Parkwood,Parkwood Youth Organization Recreation Center,3663,3359 MECHANICSVILLE RD,19154,3102 MECHANICSVILLE RD,"3301 MECHANICSVILLE RD;3102 MECHANICSVILLE RD;Dunksferry & Mechanicsville",30.81561268,NEIGHBORHOOD_PARK,ATHLETIC_OTHER,1,1,10,8,Y,Y,N,,213418.671875,2079.52925399535
461,American Swedish Historical Museum,Franklin Delano Roosevelt Park,Y,American Swedish Historical Museum,American Swedish Museum,American Swedish Museum,3666,1900 PATTISON AVE,19145,3500 S BROAD ST,3500 S BROAD ST,1.67416017,NEIGHBORHOOD_PARK,MUSEUM,9,7,2,1,Y,Y,N,,11527.3515625,455.637191295444
462,Andorra Natural Area,Wissahickon Valley Park,Y,,Andorra,,3667,9750 FORBIDDEN DR,19128,"9001 LYKENS LN, 950 NORTHWESTERN AVE","9001 LYKENS LN, 950 NORTHWESTERN AVE",158.15612487,WATERSHED_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,4,5,Y,Y,N,,1094515.57421875,5568.6335500783
463,Cobbs Creek Community Environmental Center,Cobbs Creek Park,Y,,Cobbs Environ Center,"Cobbs Creek EEC;Cobbs Creek Environmental Education Center;Cobbs Creek Stables",1835,700 COBBS CREEK PKWY,19143,6300 SPRUCE ST,6300 SPRUCE ST,1.45077738,NEIGHBORHOOD_PARK,ENVIRONMENTAL_EDUCATION_CENTER,8,8,3,18,Y,Y,Y,,10002.78515625,597.832117044943
464,Saylors Grove,Wissahickon Valley Park,Y,,Saylors Grove,,3713,669 W RITTENHOUSE ST,19144,5800 WISSAHICKON AVE,"6020 WISSAHICKON AVE;5800 WISSAHICKON AVE;5964 WISSAHICKON AVE",3.31910353,NEIGHBORHOOD_PARK,CONSERVATION_DRAINAGE_WATERSHED,4,4,4,39,Y,Y,N,,22933.890625,724.466134797426
465,Ben-Gurion Place,Ben-Gurion Place,N,,Ben-Gurion,,0,107 N INDEPENDENCE MALL E,19106,N/A,Between N Independence Mall E and N 4th St,0.38716613,POCKET_PARK,BREEZEWAY_ISLAND,10,5,1,6,Y,Y,N,There is no parcel here,2669.3515625,377.605807408221
466,Commerce Street Walk,Commerce Street Walk,N,,Commerce,,0,25 N 04TH ST,19106,N/A,Between N 4th St and N 3rd St,0.37266554,POCKET_PARK,BREEZEWAY_ISLAND,10,5,1,6,Y,Y,N,There is no parcel here,2569.36328125,443.692868714668
467,Waverly Street Community Garden,Waverly Street Community Garden,N,Waverly Street Community Garden,Waverly,,99999,1131 WAVERLY ST,19147,1123-31 WAVERLY ST,1123-31 WAVERLY ST,0.09275297,POCKET_PARK,URBANAGRICULTURE_GARDEN,10,7,1,6,Y,Y,N,,639.375,110.819503354346
